Brand,Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C
Head Tennis,Ti CARBON 5001,55 - 59,39' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,7T
Head Tennis,Ti CARBON 6000,55 - 59,39' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,7T
Head Tennis,Ti CARBON 7000,50 - 60,37' - 9'S,14M X 17C,"6,8,9T - 7B",7T,6T,6B
Head Tennis,Ti CARBON 7001 PZ,53 - 62,21'M - 17'C,16M X 19C,"8T - 7,9B",8B,8T,7T - 7B
Head Tennis,Ti CARBON 9000,52 - 62,39' - 11'S,18M X 19C,"7,9,11,12T - 9B",10T,7T,7B
Head Tennis,Ti CARBON 9001 PZ,54 - 64,21'M - 17'C,16M X 19C,"7,9T - 7,9,10B",8B,7T,8T - 6B
Head Tennis,Ti CLASSIC MP,50 - 62,20'M - 17'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,Ti FIRE,53 - 64,20'M - 19'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,Ti FIRE COMFORT ZONE,53 - 64,20'M - 19'C,16M X 19C,"7,9T - 6,8,10B",9B,7T,6T - 7B
Head Tennis,Ti FIRE TOUR EDITION XL,50 - 62,38' - 10'S,16M X 18C,"7,9T - 7,9B",8T,7T,5B
Head Tennis,Ti HEAT,53 - 64,20'M - 19'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,Ti HEAT COMFORT ZONE,53 - 64,20'M - 19'C,16M X 19C,"7,9T - 6,8,10B",9B,7T,6T - 7B
Head Tennis,Ti LASER COMFORT ZONE XL,53 - 64,20'M - 18'C,16M X 19C,"8T - 7,9,10B",8B,8T,7T - 6B
Head Tennis,Ti LASER MP,53 - 64,20'M - 18'C,16M X 19C,"8T - 7,9,10B",8B,8T,7T - 6B
Head Tennis,Ti PRO XL,57 - 67,40' - 11'S,18M X 19C,"7,9,11,12T - 9B",10T,7T,7B
Head Tennis,Ti RADICAL MP,50 - 60,20'M - 17'C,18M X 20C,"8,10T - 9B",8B,8T,6T - 7B
Head Tennis,Ti RADICAL OS,59 - 69,21'M - 17'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,Ti S1,55 - 64,20'M - 17'C,16M X 19C,"8T - 8,9B",7B,8T,7T - 6B
Head Tennis,Ti S2,53 - 62,20'M - 17'C,18M X 19C,"8,10T - 8,10,11B",9B,8T,6T - 7B
Head Tennis,Ti S2 COMFORT ZONE,53 - 64,20'M - 19'C,16M X 19C,"8T - 7,9,10B",8B,8T,7T - 6B
Head Tennis,Ti S4 COMFORT ZONE XL,55 - 64,20'M - 18'C,16M X 19C,"7,9,10T - 8B",6B,7T,5T - 11B
Head Tennis,Ti S4 XL,55 - 64,20'M - 18'C,16M X 19C,"8T - 8,9B",7B,8T,7T - 6B
Head Tennis,Ti S5 COMFORT ZONE XL,55 - 64,20'M - 18'C,16M X 19C,"7,9,10T - 7,9B",8T,7T,6T - 8B
Head Tennis,Ti S5 OS XL,55 - 64,20'M - 18'C,16M X 19C,"7,9,10T - 8B",8T,7T,4T - 7B
Head Tennis,Ti S6 OS XL,57 - 66,20'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,5T - 7B
Head Tennis,Ti S7 OS XL,59 - 68,21'M - 18'C,16M X 20C,"7,9T - 7,9B",8T,7T,4T - 5B
Head Tennis,Ti S8,57 - 66,21'M - 18'C,16M X 20C,"7,9,10T",8T,7T,5T - 7B
Head Tennis,TRISYS 150 600,48 - 58,20'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 6B
Head Tennis,TRISYS 150 660,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 6B
Head Tennis,TRISYS 150 720,60 - 70,21'M - 17'C,18M X 19C,9T - 9B,7B,9T,6T - 5B
Head Tennis,TRISYS 170 660,54 - 64,34' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,5B
Head Tennis,TRISYS 170 720,60 - 70,21'M - 17'C,18M X 19C,9T - 9B,7B,9T,6T - 5B
Head Tennis,TRISYS 190 660,54 - 64,34' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,5B
Head Tennis,TRISYS 190 720,60 - 70,21'M - 17'C,18M X 19C,9T - 9B,7B,9T,6T - 5B
Head Tennis,TRISYS 210 660,54 - 64,34' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,5B
Head Tennis,TRISYS 210 720,60 - 70,21'M - 17'C,18M X 19C,9T - 9B,7B,9T,6T - 5B
Head Tennis,TRISYS 230 600,48 - 58,34' - 10'S,16M X 19C,"7,9T - 7,9B",5T,7T,5B
Head Tennis,TRISYS 230 660,54 - 64,34' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,5B
Head Tennis,TRISYS 230 720,60 - 70,21'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,TRISYS 250 660,54 - 64,34' - 10'S,16M X 19C,"8T - 7,9B",6T,8T,5B
Head Tennis,TRISYS 250 720,60 - 70,21'M - 17'C,18M X 19C,9T - 9B,7B,9T,6T - 5B
Head Tennis,TRISYS 270 600,48 - 58,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,TRISYS 270 660,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,TRISYS 300 600,48 - 58,20'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,9T - 7B
Head Tennis,TRISYS 300 660,54 - 64,20'M - 17'C,18M X 19C,"9T - 8,10B",7B,9T,6T - 5B
Head Tennis,VENTORIS 600,54 - 64,34' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Head Tennis,VENTORIS 660,63 - 74,35' - 10'S,16M X 19C,"7,9T - 7,9B",8B,7B,5T
Head Tennis,VENTORIS 720,65 - 77,37' - 11'S,18M X 19C,"9T - 8,10B",9B,8B,6T
Head Tennis,YOUTEK EXTREME PRO,52 - 62,20'M - 17'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 5B
Head Tennis,YOUTEK FIVE STAR,52 - 62,21'M - 18'C,16M X 19C,"7,9B",6B,7T,5T - 4B
Head Tennis,YOUTEK FOUR STAR,52 - 62,21'M - 18'C,16M X 19C,"7,9T - 7,9B",6B,7T,5T - 4B
Head Tennis,YOUTEK GRAPHENE INSTINCT LITE,50 - 60,21'M - 18'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,YOUTEK GRAPHENE INSTINCT MP,48 - 57,20'M - 17'C,16M X 19C,NONE,6B,7T,5T - 9B
Head Tennis,YOUTEK GRAPHENE INSTINCT PWR,52 - 62,22'M - 18'C,16M X 19C,"7,9T - 8B",8T,7T,6T - 7B
Head Tennis,YOUTEK GRAPHENE INSTINCT REV,48 - 57,20'M - 17'C,16M X 19C,NONE,6B,7T,5T - 9B
Head Tennis,YOUTEK GRAPHENE INSTINCT S,50 - 60,20'M - 17'C,16M X 19C,NONE,6B,7T,5T - 9B
Head Tennis,YOUTEK GRAPHENE PRESTIGE MP,52 - 62,21'M - 18'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,YOUTEK GRAPHENE PRESTIGE PRO,52 - 62,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE PRESTIGE PWR,52 - 62,20'M - 18'C,16M X 19C,"7,9B",6B,7T,5T - 4B
Head Tennis,YOUTEK GRAPHENE PRESTIGE REV PRO,48 - 57,20'M - 17'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE RADICAL LITE,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE RADICAL MP,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE RADICAL PRO,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE RADICAL REV,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE RADICAL S,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK GRAPHENE SPEED MP,50 - 60,20'M - 18'C,16M X 19C,NONE,6B,7T,6T - 9B
Head Tennis,YOUTEK GRAPHENE SPEED PRO,48 - 57,21'M - 19'C,18M X 20C,NONE,7B,8T,7T - 10B
Head Tennis,YOUTEK GRAPHENE SPEED PWR,52 - 62,20'M - 18'C,16M X 19C,"7,9T - 7,9,10B",8B,7T,5T - 6B
Head Tennis,YOUTEK GRAPHENE SPEED REV,48 - 57,20'M - 18'C,16M X 19C,NONE,6B,7T,6T - 9B
Head Tennis,YOUTEK GRAPHENE SPEED S,48 - 57,20'M - 17'C,16M X 19C,NONE,6B,7T,6T - 9B
Head Tennis,YOUTEK IG EXTREME ELITE,52 - 62,20'M - 17'C,16M X 19C,"7,9T - 7,9B",8B,7T,5T - 6B
Head Tennis,YOUTEK IG EXTREME MP,52 - 62,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,YOUTEK IG EXTREME OS,52 - 62,21'M - 18'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,YOUTEK IG EXTREME PRO,52 - 62,20'M - 17'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 5B
Head Tennis,YOUTEK IG EXTREME S,50 - 60,20'M - 17'C,16M X 19C,8T - 8B,6B,8T,7T - 11B
Head Tennis,YOUTEK IG INSTINCT MP,48 - 57,20'M - 18'C,16M X 19C,NONE,6B,7T,5T - 9B
Head Tennis,YOUTEK IG INSTINCT S,48 - 57,20'M - 18'C,16M X 19C,NONE,6B,7T,5T - 9B
Head Tennis,YOUTEK IG PRESTIGE MID,48 - 57,20'M - 17'C,18M X 20C,"8,10T - 8,10B",9B,8T,6T - 7B
Head Tennis,YOUTEK IG PRESTIGE MP,48 - 57,20'M - 18'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B
Head Tennis,YOUTEK IG PRESTIGE PRO,48 - 57,21'M - 17'C,16M X 19C,8T - 8B,7B,8T,6T - 7B
Head Tennis,YOUTEK IG PRESTIGE S,48 - 57,20'M - 18'C,16M X 19C,NONE,6B,7T,5T - 5B
Head Tennis,YOUTEK IG RADICAL MP,48 - 57,21'M - 18'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 7B
Head Tennis,YOUTEK IG RADICAL OS,48 - 57,21'M - 18'C,18M X 19C,"9T - 8,10B",9B,9T,6T - 7B
Head Tennis,YOUTEK IG RADICAL PRO,48 - 57,20'M - 18'C,16M X 19C,8T - 8B,7T,8T,6T - 7B
Head Tennis,YOUTEK IG RADICAL S,48 - 57,20'M - 18'C,16M X 19C,NONE,6B,7T,5T - 5B
Head Tennis,YOUTEK INSTINCT,52 - 62,20'M - 17'C,18M X 19C,"8,10T - 8,10B",9B,8T,6T - 7B
